name,group-title,logo-link,link,largura,altura,fps,contagem quadros,tamanho_GB
Pluft: O Fantasminha, Filmes | GloboPlay,https://image.tmdb.org/t/p/w600_and_h900_bestv2/45Yk7nu8aMsIVNVxXGJD5iDGc8s.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/231807.mp4,1280,720,29,158064,1.801504
Mindcage, Filmes | Apple TV+,https://image.tmdb.org/t/p/w600_and_h900_bestv2/JvqaHXdKBtEAmm4EDVTGkoAGIj.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/231512.mp4,848,480,23,138835,0.405431
O11ZE 2017 S03 E49,Séries | Disney +,https://image.tmdb.org/t/p/w600_and_h900_bestv2/uKUPQS2bjibtgknWXKvNZzXXyCs.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/291964.mp4,848,480,30,40205,0.094826
O Protetor 2,Filmes | Ação,https://image.tmdb.org/t/p/w600_and_h900_bestv2/REWunAyKGCbxvg2UJGMEHuQd2c.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/230927.mp4,1280,536,23,174002,1.318977
O11ZE 2017 S03 E57,Séries | Disney +,https://image.tmdb.org/t/p/w600_and_h900_bestv2/a96yTELvFdcuExhSkM5sRPgaXca.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/291972.mp4,848,480,30,42732,0.100826
Scott Pilgrim: A Série S01 E01,Séries | Netflix,https://image.tmdb.org/t/p/w600_and_h900_bestv2/q3eIJSxZO2zXig4Ni3oo8md6mWS.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/292030.mp4,848,480,23,41042,0.120308
Encontro Marcado,Filmes | Fantasia,https://image.tmdb.org/t/p/w600_and_h900_bestv2/yWkHHaX04yCnmNBwHilh3jm0v9o.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/4804.mp4,1280,694,23,259737,3.366339
Hermanoteu na Terra de Godah: O Filme,Filmes | Comedia,https://image.tmdb.org/t/p/w600_and_h900_bestv2/nW62xAJYHcTMs1U7bgDNlZjDZMd.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/228342.mp4,1280,720,29,151550,1.569066
Duncanville 2020 S02 E10, Séries | Star +,https://image.tmdb.org/t/p/w600_and_h900_bestv2/fK1ihtpiKdllY57pZMpNHOtCBJY.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/292331.mp4,848,480,29,38903,0.091941
Violetta 2012 S01 E05,Séries | Disney +,https://image.tmdb.org/t/p/w600_and_h900_bestv2/ncnbpdqC8GlRI8xNVHRHvZKCekJ.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/292375.mp4,1280,720,23,63966,0.526651
Anjos e Demônios 98.22,Filmes | Suspense,https://image.tmdb.org/t/p/w600_and_h900_bestv2/pVhKBn8HTJVksw3Msk76MgMogiy.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/224732.mp4,1280,534,23,210404,1.533328
Anjos e Demônios 35.1,Filmes | Suspense,https://image.tmdb.org/t/p/w600_and_h900_bestv2/pVhKBn8HTJVksw3Msk76MgMogiy.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/5163.mp4,1280,534,23,210404,1.533328
Violetta 2012 S01 E218,Séries | Disney +,https://image.tmdb.org/t/p/w600_and_h900_bestv2/b3MUGJeKakAZwQa7lNJxTP1pJmD.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/292588.mp4,1280,720,23,64418,0.533322
Slow Horses S03 E01,Séries | Apple TV,https://image.tmdb.org/t/p/w600_and_h900_bestv2/nWn7Ge7GXBhCORXVpy3Pl9imjRX.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/292709.mp4,848,480,23,63413,0.18673
Felicidade 1991 S01 E41,Séries | Novelas,https://image.tmdb.org/t/p/w600_and_h900_bestv2/i8gju3ejk7lMpPicRRvcu4VSnl8.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/292752.mp4,640,480,29,61252,0.191298
Retrospectiva Globo,Filmes | Documentarios,https://s03.video.glbimg.com/x720/11225390.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/224637.mp4,1280,720,29,182236,1.294453
